        Id;Fecha de creación;Fecha de actualización;Titulo;Descripcion corta;Descripción;Alt;Pie;Origen;Autor;Realizador;Año;Titulo original;Referencia a la fuente;Streaming;Denegar descarga;Fecha inicio;Fecha fin;Crítico;Derechos;Subtitulos;Autoria;Preset Original;Preset Alta;Preset Media;Preset Baja;Temáticas;Categorias;Destinos de Publicación;Thumbs;Tags;Enlaces;Relacionados;Documentos adjuntos;Estado;
    11585;"24 Mar 2013 07:00:00";"24 Mar 2013 09:40:00";"¿Qué escritores y políticos españoles conocemos en el mundo romano?";"Preguntas a la Historia - Los hispanos aportaron al mundo romano una destacada contribución cultural y política, siempre de rasgos genuinos y fisonomía propia...";"Preguntas a la Historia - Los hispanos aportaron al mundo romano una destacada contribución cultural y política, siempre de rasgos genuinos y fisonomía propia. Junto a Séneca y Lucano, el escritor Marcial se autoproclama legítimo celtíbero, mientras que sus compatriotas dedicados a la vida pública aparecen precozmente en el Senado romano a través de unos gaditanos, los Balbos, en la época de César, para consolidarse luego en las etapas de Trajano y Adriano. PARTICIPANTES: Mª Consuelo Juanto Jiménez, profesora de Historia del Derecho de la UNED. PALABRAS CLAVE: escritor, político, españoles, mundo, romano, hispano, trajano, adriano, celtíbero, césar, gaditanos, teodosio, coca, siglo IV, II, Andalucía.";"¿Qué escritores y políticos españoles conocemos en el mundo romano?";"";"UNED (2013-03-24-radio5-historia-escritores-y-politicos-espanoles-mundo-romano-marzo)";"";"Edith Checa Oviedo";"24/03/2013";"";"";"";"false";"24/03/2013 04:00";"24/03/2013 08:00";"false";"false";"";"false";"/resources/mp3/7/8/1363692417287.mp3";"";"/resources/mp3/1/2/1363692418121.mp3";"/resources/mp3/2/3/1363692418732.mp3";"INFORMATIVOS Y CULTURALES , Radio";"Audios";"RC";"";"";"";"";"";"PUB";
    11611;"24 Mar 2013 07:00:00";"24 Mar 2013 09:38:00";"Reforma del Proceso Penal";"Derecho - La necesidad de reforma de la Ley de Enjuiciamiento Criminal, que data de 1882, ha sido reconocida y...";"Derecho - La necesidad de reforma de la Ley de Enjuiciamiento Criminal, que data de 1882, ha sido reconocida y demandada reiteradamente. Imprescindible para culminar el proceso de modernización de nuestras leyes procesales y tener un sistema procesal adaptado a las necesidades de nuestra sociedad y de nuestra administración de justicia. Las líneas maestras de la reforma del proceso penal en sus instituciones principales están en el cambio del modelo de investigación penal; los limites al ejercicio de la acción popular; el estatuto de la víctima en el nuevo proceso penal; el derecho de defensa y las garantías procesales en la imputación de las personas físicas y jurídicas; la segunda instancia en el proceso penal y el tratamiento de la impugnación de las sentencias absolutorias; y la nueva configuración del recursos de casación. PARTICIPANTES: José Vicente Gimeno Sendra, catedrático de Derecho Procesal, UNED. PALABRAS CLAVE: administración de justicia, modelo de investigación penal, Fiscal investigador, juez de Instrucción, acción popular, Código Procesal Penal";"Reforma del Proceso Penal";"";"UNED (2013-03-24-sd-der-32028)";"";"Mª Rosario López de Haro Rubio";"24/03/2013";"";"";"";"false";"24/03/2013 00:01";"24/03/2013 04:00";"false";"false";"";"false";"/resources/mp3/5/3/1363951761235.mp3";"";"/resources/mp3/1/0/1363951781001.mp3";"/resources/mp3/2/4/1363951781842.mp3";"DERECHO , DERECHO PLAN 2000 , Radio";"Audios";"RC";"";"";"";"";"/resources/pdf/2/0/1363953438002.pdf (5485)
                    ";"PUB";
    11610;"24 Mar 2013 07:00:00";"24 Mar 2013 09:38:00";"España y Afganistán. 50 años de matrimonio estéril y 10 de divorcio criminal";"Educación - Un libro con información que no es secreta, aunque no sea de fácil localización. Propone una mirada diferente en una sociedad globalizada, en la que algunos acontecimientos, ...";"Educación - Un libro con información que no es secreta, aunque no sea de fácil localización. Propone una mirada diferente en una sociedad globalizada, en la que algunos acontecimientos, por su impacto mediático y por las amenazas al orden establecido, desencadenan intervenciones armadas con argumentos como la lucha antiterrorista, los derechos humanos, la defensa de la democracia, la libertad, la injerencia humanitaria, enmascarando razones tácitas que muchas veces ignora el ciudadano que forma parte de una comunidad internacional que interviene sobre otros pueblos aparentemente lejanos. PARTICIPANTES: Agustín Velloso Santisteban, profesor de Política Comparada de la Educación Social, Facultad de Educación (UNED). PALABRAS CLAVE: Afganistán, Irak, Iraq, conflicto armado, guerra, intervención, injerencia humanitaria, derechos humanos, islamismo, comunidad internacional, lucha antiterrorista, neocolonialismo, colonialismo, afganización, cooperación humanitaria, OTAN, imperialismo";"España y Afganistán. 50 años de matrimonio estéril y 10 de divorcio criminal";"";"UNED (2013-03-24-sd-edu-31995)";"";"Mª José Rivera Barro";"24/03/2013";"";"";"";"false";"24/03/2013 16:00";"24/03/2013 23:59";"false";"false";"";"false";"/resources/mp3/8/5/1363948688458.mp3";"";"/resources/mp3/4/0/1363948698604.mp3";"/resources/mp3/3/4/1363948699943.mp3";"CIENCIAS DE LA EDUCACIÓN , Radio";"Audios";"RC";"";"";"";"";"/resources/pdf/5/1/1363948904315.pdf (5484)
                    ";"PUB";
    11612;"24 Mar 2013 07:00:00";"24 Mar 2013 09:38:00";"SIN DISTANCIAS (24/03/2013)";"Programa completo, emitido en Radio Nacional.";"Programa completo, emitido en Radio Nacional.";"SIN DISTANCIAS (24/03/2013)";"";"UNED (2013-03-24-sd-3346)";"";"";"24/03/2013";"";"";"";"false";"24/03/2013 08:00";"24/03/2013 16:00";"false";"false";"";"false";"/resources/mp3/9/4/1363952098849.mp3";"";"/resources/mp3/9/3/1363952103239.mp3";"/resources/mp3/4/3/1363952115634.mp3";"INFORMATIVOS Y CULTURALES , Radio";"Audios";"RC";"";"";"";"";"";"PUB";
    11574;"23 Mar 2013 07:00:00";"24 Mar 2013 09:36:00";"Teatraccia, el teatro continua";"Espacios Abiertos - El teatro no pasa de moda porque es arte, como arte es interpretarlo. Cuando la facultad de ciencias de la UNED pensó en este proyecto no imaginaban ...";"Espacios Abiertos - El teatro no pasa de moda porque es arte, como arte es interpretarlo. Cuando la facultad de ciencias de la UNED pensó en este proyecto no imaginaban que un grupo de personas tan diverso y con intereses en principio tan diferentes, formarían este grupo de teatro que hoy es. Esfuerzo, grupo e ilusión han logrado un resultado que es su recompensa al trabajo bien hecho. PARTICIPANTES: Luis Fernando Cabrera, director de Teatraccia (UNED); Pilar Cabildo Miranda, catedrática y subdirectora del Dpto de Química Orgánica y Biorgánica (UNED); María Luisa Rojas Cervantes, secretaria de la Facultad de Ciencias (UNED); Susana Medina Nombela, alumna Facultad de Derecho (UNED); Isabel Baeza Fernández. PALABRAS CLAVE: teatro, arte, facultad de ciencias, UNED";"Teatraccia, el teatro continua";"";"UNED (2013-03-23-sd-acc 1-5125)";"";"Mª Isabel Baeza Fernández";"23/03/2013";"";"";"";"false";"23/03/2013 12:00";"23/03/2013 16:00";"false";"false";"";"false";"/resources/mp3/6/9/1363684260796.mp3";"";"/resources/mp3/4/1/1363684275314.mp3";"/resources/mp3/4/0/1363684286204.mp3";"CURSO DE ACCESO";"Audios";"RC";"";"";"";"";"/resources/pdf/5/3/1363686115335.pdf (5456)
                    ";"PUB";
    11576;"23 Mar 2013 07:00:00";"24 Mar 2013 09:36:00";"Teatro gastronómico";"Acceso (Serie: Literatura y Gastronomía Siciliana ) - Es larga la historia del espectáculo en una estrecha relación entre comida y teatro...";"Acceso (Serie: Literatura y Gastronomía Siciliana ) - Es larga la historia del espectáculo en una estrecha relación entre comida y teatro. Ya en la época romana las manifestaciones teatrales se celebran fiestas especiales con la comida como protagonista. Si pensamos en el teatro italiano, en la commedia dell'arte nos encontramos con personajes muy famosos que están continuamente buscando comida. En el programa se habla de experiencias como el teatro-cocina o Mafias a la cazuela. Sicilia, el teatro y la gastronomía unidas en una experiencia de ayer y a la vez totalmente innovadora. PARTICIPANTES: Milagro Martín Clavijo, profesora titular de Filología Italiana (Universidad de Salamanca); Salvatore Bartolotta, profesor titular de Filología Italiana (UNED); Isabel Baeza Fernández. PALABRAS CLAVE: comida, teatro, teatro italiano, commedia dell' arte, teatro-cocina, mafia, Sicilia";"Teatro gastronómico";"";"UNED (2013-03-23-sd-acc 2-5126)";"";"Mª Isabel Baeza Fernández";"23/03/2013";"";"";"";"false";"23/03/2013 16:00";"23/03/2013 23:59";"false";"false";"";"false";"/resources/mp3/3/5/1363684287953.mp3";"";"/resources/mp3/6/7/1363684289976.mp3";"/resources/mp3/7/2/1363684290427.mp3";"CURSO DE ACCESO";"Audios";"RC";"";"";"";"";"/resources/pdf/2/2/1363688501522.pdf (5457)
                    ";"PUB";
    11578;"23 Mar 2013 07:00:00";"24 Mar 2013 09:36:00";"SIN DISTANCIAS (23/03/2013)";"Programa completo, emitido en Radio Nacional.";"Programa completo, emitido en Radio Nacional.";"SIN DISTANCIAS (23/03/2013)";"";"UNED (2013-03-23-sd-3337)";"";"";"23/03/2013";"";"";"";"false";"23/03/2013 08:00";"23/03/2013 12:00";"false";"false";"";"false";"/resources/mp3/9/6/1363684713469.mp3";"";"/resources/mp3/3/1/1363684729913.mp3";"/resources/mp3/1/2/1363684730921.mp3";"INFORMATIVOS Y CULTURALES";"Audios";"RC";"";"";"";"";"";"PUB";
    11575;"23 Mar 2013 07:00:00";"24 Mar 2013 09:36:00";"Chagnon vs. Sahlins: Sombras en el Dorado";"Antropología - La polémica en la Academia Nacional de Ciencias de EEUU entre los antropólogos Marshall Sahlins y Napolelón Chagnon ...";"Antropología - La polémica en la Academia Nacional de Ciencias de EEUU entre los antropólogos Marshall Sahlins y Napolelón Chagnon afecta a cuestiones de fondo de la Antropología. Analizamos el trasfondo de este debate público que ha implicado a esta disciplina durante la última década. PARTICIPANTES: Francisco Cruces Villalobos, profesor de Antropología Social y Cultural (UNED); Monserrat Cañedo Rodríguez, profesoras de Antropología Social y Cultural (UNED). PALABRAS CLAVE: polémica antropológica, yanomamis, Academia Nacional de Ciencias de EEUU.";"Chagnon vs. Sahlins: Sombras en el Dorado";"";"UNED (2013-03-23-sd-antr-31888)";"";"Lourdes Nieto Quintas";"23/03/2013";"";"";"";"false";"23/03/2013 00:01";"23/03/2013 04:00";"false";"false";"";"false";"/resources/mp3/5/1/1363684262815.mp3";"";"/resources/mp3/8/6/1363684283968.mp3";"/resources/mp3/0/5/1363684289250.mp3";"ANTROPOLOGÍA SOCIAL Y CULTURAL";"Audios";"RC";"";"";"";"";"/resources/pdf/6/8/1363688881786.pdf (5458)
                    ";"PUB";
    11570;"23 Mar 2013 07:00:00";"24 Mar 2013 09:35:00";"¿Es una buena práctica medioambiental la valorización energética de los plásticos?";"Respuestas de la Ciencia - El beneficio medioambiental de la valorización energética radica en una combustión...";"Respuestas de la Ciencia - El beneficio medioambiental de la valorización energética radica en una combustión limpia no contaminante y en la eliminación de residuos PARTICIPANTES: Mª Rosa Gómez Antón, profesora de Ingeniería Química de la UNED. PALABRAS CLAVE: medioambiente, energía, plásticos, reciclado, valorización, industria, gases, combustión, contaminación, residuos.";"¿Es una buena práctica medioambiental la valorización energética de los plásticos?";"";"UNED (2013-03-23-radio5-ciencias-valorizacion-energetica-plasticos-marzo)";"";"Edith Checa Oviedo";"23/03/2013";"";"";"";"false";"23/03/2013 04:00";"23/03/2013 08:00";"false";"false";"";"false";"/resources/mp3/0/2/1363684016820.mp3";"";"/resources/mp3/7/7/1363684019377.mp3";"/resources/mp3/3/4/1363684020543.mp3";"INFORMATIVOS Y CULTURALES";"Audios";"RC";"";"";"";"";"/resources/pdf/2/0/1363689257002.pdf (5460)
                    ";"PUB";
    11600;"22 Mar 2013 10:00:00";"22 Mar 2013 09:58:00";"Movilizar la Educación a Distancia";"Programa TV: Noticia - Los días 7, 8 y 9 de Marzo, se celebró en la Facultad de Humanidades de la UNED, la Conferencia Internacional organizada por la Universidad Nacional de Educación a Distancia y el ICDE (Consejo Internacional para la Educación...";"Programa TV: Noticia - Los días 7, 8 y 9 de Marzo, se celebró en la Facultad de Humanidades de la UNED, la Conferencia Internacional organizada por la Universidad Nacional de Educación a Distancia y el ICDE (Consejo Internacional para la Educación Abierta y a Distancia). 3 días de debate, de reflexiones, entre profesionales de la Educación y de organismos políticos de más de 44 nacionalidades diferentes, reunidos con el fin de analizar e intercambiar distintos modelos de educación a distancia así como la necesidad del desarrollo de nuevas tecnologías de la información para favorecer la inclusión de colectivos con una nulo o restringido acceso a los recursos e Instituciones Educativas. PARTICIPANTES: Tian Belawati, Presidenta del ICDE Y Rectora de la Universidad Terbuka de Indonesia. ; Beatriz Morán, Directora de la División de Asuntos Sociales de la Secretaría General Iberoamericana (SEGIB).; Pierre Mairesse, Responsable en la Comisión Europea para asuntos relacionados con la Estrategia Europea de Educación y Aprendizaje Permanente..";"Movilizar la Educación a Distancia";"";"UNED (noticia01 073 22032013)";"";"";"22/03/2013";"";"";"";"false";"22/03/2013 11:00";"22/03/2013 13:00";"false";"false";"/deliverty/demo/resources/srt/0/0/1363942661500.srt";"false";"";"/resources/flv/4/2/1363765863724.flv";"";"";"INFORMATIVOS Y CULTURALES , Tele UNED";"Videos";"RC";"/resources/jpg/7/7/1363765898677.jpg";"";"";"";"/resources/pdf/9/1/1363942621019.pdf (5476)
                    ";"PUB";
    11602;"22 Mar 2013 10:00:00";"22 Mar 2013 10:18:00";"ALDOUS HUXLEY";"Programa TV - Novelista, ensayista y místico intelectual, Aldous Leonard Huxley nació en Inglaterra en 1894 en el seno de una destacada familia de literatos y científicos. Entre sus obras más importantes figuran: Las puertas de la percepción.";"Programa TV - Novelista, ensayista y místico intelectual, Aldous Leonard Huxley nació en Inglaterra en 1894 en el seno de una destacada familia de literatos y científicos. Entre sus obras más importantes figuran: Las puertas de la percepción. Cielo e infierno, Un mundo feliz, La filosofía perenne, La isla, El tiempo debe detenerse, Los demonios de Loudun y Contrapunto. Propuesta: María Teresa Román López. Profesora Titular Filosofía Uned Invitado: Jesús Callejo Cabo.Invvestigador y escritor Realizador: Pedro Domínguez Zarandón. PARTICIPANTES: Mª Teresa Román López, Profesora titular Filosofía Uned.; Jesús Callejo Cabo, Investigador y escritor..";"ALDOUS HUXLEY";"";"UNED (programa02 073 22032013)";"";"";"22/03/2013";"";"";"";"false";"22/03/2013 00:01";"22/03/2013 04:00";"false";"false";"/deliverty/demo/resources/srt/4/3/1363943873834.srt";"false";"";"/resources/flv/5/8/1363765865285.flv";"";"";"INFORMATIVOS Y CULTURALES , Tele UNED";"Videos";"RC";"/resources/jpg/5/1/1363765899715.jpg";"";"";"";"/resources/pdf/5/9/1363943823295.pdf (5481)
                    ";"PUB";
